epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.432,1.16049,2.42823,1.19369,0.94332,0.55357,0.59054,0.46886,0.79027,0.95788,1.00545,0.00015159,0.00015159,0.00015159
2,444.169,0.94476,1.24123,1.05208,0.89228,0.57884,0.62038,0.5023,0.75026,0.84349,0.97713,0.000298638,0.000298638,0.000298638
3,660.4,0.91534,1.0332,1.03076,0.80313,0.60559,0.64681,0.51043,0.74266,0.75029,0.96159,0.000441066,0.000441066,0.000441066
4,875.78,0.89268,0.89519,1.02401,0.80754,0.63181,0.65747,0.5283,0.71414,0.69888,0.95862,0.00043421,0.00043421,0.00043421
5,1090.43,0.85128,0.79473,1.006,0.82674,0.66033,0.71793,0.56722,0.69406,0.6395,0.93921,0.00042728,0.00042728,0.00042728
6,1305.03,0.82342,0.73266,0.9897,0.76335,0.70252,0.73479,0.57349,0.6904,0.6068,0.94592,0.00042035,0.00042035,0.00042035
7,1519.27,0.80986,0.70167,0.98722,0.74866,0.73097,0.77097,0.59392,0.65528,0.58725,0.92493,0.00041342,0.00041342,0.00041342
8,1733.71,0.79424,0.667,0.98056,0.72467,0.76652,0.76746,0.60633,0.65563,0.57916,0.92721,0.00040649,0.00040649,0.00040649
9,1979.19,0.7851,0.6485,0.97502,0.83876,0.73859,0.78214,0.61863,0.63811,0.54597,0.91658,0.00039956,0.00039956,0.00039956
10,2194.13,0.77011,0.62696,0.96969,0.84891,0.7477,0.80327,0.63361,0.61495,0.51702,0.89897,0.00039263,0.00039263,0.00039263
11,2409.03,0.75283,0.6112,0.96135,0.83589,0.77767,0.80499,0.63576,0.61625,0.53469,0.91258,0.0003857,0.0003857,0.0003857
12,2628.32,0.75289,0.59578,0.96319,0.85909,0.76714,0.81149,0.64105,0.59947,0.51619,0.90123,0.00037877,0.00037877,0.00037877
13,2859.5,0.74751,0.58133,0.9561,0.8753,0.77412,0.82065,0.65027,0.59969,0.49046,0.89985,0.00037184,0.00037184,0.00037184
14,3073.53,0.72626,0.56469,0.9497,0.86805,0.78446,0.81996,0.64568,0.60316,0.48722,0.89742,0.00036491,0.00036491,0.00036491
15,3288.3,0.72661,0.56293,0.95175,0.83044,0.8063,0.82623,0.64799,0.60005,0.47496,0.89903,0.00035798,0.00035798,0.00035798
16,3503.03,0.71588,0.55329,0.94868,0.83041,0.7996,0.82371,0.65341,0.58727,0.46643,0.89698,0.00035105,0.00035105,0.00035105
17,3717.49,0.71522,0.54321,0.94562,0.86094,0.80563,0.83041,0.66048,0.58519,0.45987,0.89028,0.00034412,0.00034412,0.00034412
18,3932.13,0.70984,0.53708,0.94081,0.84969,0.79933,0.83098,0.66245,0.58096,0.46094,0.89154,0.00033719,0.00033719,0.00033719
19,4146.92,0.69833,0.52682,0.93754,0.8439,0.76789,0.82483,0.66114,0.56834,0.4438,0.88529,0.00033026,0.00033026,0.00033026
20,4361.71,0.69588,0.52286,0.93878,0.85921,0.80804,0.83566,0.66699,0.56654,0.43886,0.88587,0.00032333,0.00032333,0.00032333
21,4576,0.68992,0.51373,0.93529,0.8643,0.80276,0.8393,0.66245,0.58063,0.44561,0.89463,0.0003164,0.0003164,0.0003164
22,4790.4,0.68847,0.51048,0.93227,0.90029,0.78635,0.83543,0.67424,0.56016,0.43582,0.88188,0.00030947,0.00030947,0.00030947
23,5004.13,0.68318,0.5021,0.93329,0.83527,0.83183,0.84571,0.67433,0.56521,0.42701,0.89231,0.00030254,0.00030254,0.00030254
24,5218.84,0.67734,0.49305,0.93108,0.87909,0.79632,0.84992,0.68065,0.5562,0.429,0.88976,0.00029561,0.00029561,0.00029561
25,5433.12,0.67439,0.49723,0.93211,0.88019,0.8213,0.85078,0.68101,0.55914,0.42453,0.88531,0.00028868,0.00028868,0.00028868
26,5651.67,0.67219,0.48694,0.92992,0.89258,0.79222,0.85083,0.67283,0.5492,0.41637,0.8828,0.00028175,0.00028175,0.00028175
27,5866.2,0.67246,0.48788,0.92909,0.85456,0.84473,0.85923,0.68904,0.54568,0.41295,0.87908,0.00027482,0.00027482,0.00027482
28,6080.44,0.66177,0.47704,0.92271,0.88922,0.82167,0.8636,0.68321,0.55296,0.41011,0.87913,0.00026789,0.00026789,0.00026789
29,6295.72,0.65861,0.47636,0.92463,0.8753,0.83229,0.85866,0.68018,0.54527,0.41396,0.88252,0.00026096,0.00026096,0.00026096
30,6510.27,0.65655,0.46951,0.92085,0.87828,0.82321,0.86719,0.694,0.54015,0.39855,0.87378,0.00025403,0.00025403,0.00025403
31,6724.91,0.65178,0.46202,0.9204,0.85473,0.84339,0.86655,0.69607,0.53976,0.4009,0.87535,0.0002471,0.0002471,0.0002471
32,6939.86,0.65241,0.46346,0.92225,0.84463,0.84357,0.86183,0.69274,0.5381,0.40501,0.87721,0.00024017,0.00024017,0.00024017
33,7155.09,0.64933,0.46062,0.92002,0.86577,0.83693,0.86511,0.6868,0.54092,0.40395,0.87689,0.00023324,0.00023324,0.00023324
34,7370.84,0.64541,0.45632,0.91762,0.86036,0.84349,0.87227,0.69448,0.53837,0.39232,0.87741,0.00022631,0.00022631,0.00022631
35,7585.71,0.63714,0.44583,0.9165,0.88162,0.81471,0.86333,0.69391,0.53161,0.39437,0.87384,0.00021938,0.00021938,0.00021938
36,7799.99,0.63785,0.44555,0.91504,0.8777,0.82689,0.85928,0.6965,0.5268,0.38333,0.87,0.00021245,0.00021245,0.00021245
37,8014.09,0.63835,0.44691,0.91269,0.86253,0.83544,0.86366,0.69801,0.52513,0.38552,0.86611,0.00020552,0.00020552,0.00020552
38,8228.29,0.62958,0.43864,0.91363,0.8665,0.83619,0.87001,0.70366,0.52558,0.38513,0.86674,0.00019859,0.00019859,0.00019859
39,8442.07,0.62662,0.44134,0.91185,0.86558,0.85106,0.87586,0.7033,0.52325,0.37802,0.86715,0.00019166,0.00019166,0.00019166
40,8656.84,0.62544,0.43617,0.91106,0.87604,0.85076,0.87714,0.70856,0.52636,0.37822,0.87276,0.00018473,0.00018473,0.00018473
41,8870.31,0.61965,0.42707,0.91079,0.88756,0.83612,0.87519,0.70777,0.51846,0.37557,0.86552,0.0001778,0.0001778,0.0001778
42,9084.11,0.62429,0.43162,0.90809,0.89178,0.83693,0.87944,0.71196,0.51884,0.37175,0.86706,0.00017087,0.00017087,0.00017087
43,9298.41,0.61855,0.4248,0.90843,0.89505,0.83495,0.87694,0.71767,0.51572,0.37563,0.86885,0.00016394,0.00016394,0.00016394
44,9512.53,0.60737,0.41766,0.90377,0.87927,0.82532,0.86812,0.71023,0.52077,0.37399,0.87026,0.00015701,0.00015701,0.00015701
45,9725.83,0.61425,0.41727,0.90421,0.88027,0.8391,0.87451,0.71052,0.51591,0.37376,0.86898,0.00015008,0.00015008,0.00015008
46,9939.74,0.60655,0.41381,0.90193,0.88561,0.84608,0.87819,0.71268,0.51646,0.37176,0.86735,0.00014315,0.00014315,0.00014315
47,10153.6,0.60502,0.41259,0.90397,0.87787,0.83256,0.8756,0.70999,0.51022,0.3645,0.86569,0.00013622,0.00013622,0.00013622
48,10367.4,0.59862,0.40632,0.9004,0.87906,0.85235,0.88322,0.71611,0.51044,0.36266,0.86438,0.00012929,0.00012929,0.00012929
49,10581.9,0.60221,0.41148,0.9047,0.88189,0.84596,0.88323,0.71529,0.51037,0.36212,0.86775,0.00012236,0.00012236,0.00012236
50,10795.2,0.59111,0.39836,0.89857,0.88964,0.84724,0.88667,0.71811,0.51096,0.35841,0.86726,0.00011543,0.00011543,0.00011543
51,11008.9,0.59127,0.39925,0.89909,0.88169,0.84639,0.88455,0.71449,0.51176,0.35768,0.86778,0.0001085,0.0001085,0.0001085
52,11223.9,0.58805,0.39528,0.89742,0.88639,0.84397,0.88088,0.71503,0.50554,0.35404,0.86559,0.00010157,0.00010157,0.00010157
53,11438,0.58433,0.39326,0.89488,0.88393,0.84808,0.88644,0.71846,0.50752,0.35639,0.86621,9.464e-05,9.464e-05,9.464e-05
54,11652.6,0.58875,0.39541,0.89892,0.85784,0.86701,0.88635,0.72102,0.5061,0.35342,0.86513,8.771e-05,8.771e-05,8.771e-05
55,11866.7,0.58198,0.39068,0.89527,0.87329,0.85237,0.88625,0.72027,0.5062,0.35269,0.86702,8.078e-05,8.078e-05,8.078e-05
56,12088.8,0.5144,0.31594,0.84975,0.87479,0.84586,0.88362,0.71997,0.50756,0.3582,0.86626,7.385e-05,7.385e-05,7.385e-05
57,12299.3,0.50936,0.30915,0.84942,0.88217,0.85765,0.8844,0.72327,0.5082,0.36007,0.87065,6.692e-05,6.692e-05,6.692e-05
58,12510.7,0.50383,0.30733,0.84801,0.89767,0.83457,0.87931,0.71899,0.50645,0.36457,0.8692,5.999e-05,5.999e-05,5.999e-05
59,12720.9,0.49945,0.30317,0.84571,0.86805,0.85384,0.8803,0.71973,0.50456,0.36669,0.86834,5.306e-05,5.306e-05,5.306e-05
60,12931.2,0.49946,0.30185,0.84359,0.88342,0.84991,0.88438,0.72446,0.50392,0.36556,0.86583,4.613e-05,4.613e-05,4.613e-05
61,13141.1,0.49758,0.29837,0.84283,0.89163,0.84792,0.88504,0.72294,0.50057,0.36343,0.8638,3.92e-05,3.92e-05,3.92e-05
62,13351.4,0.49231,0.29585,0.8434,0.87854,0.85458,0.88416,0.72518,0.50398,0.36109,0.86708,3.227e-05,3.227e-05,3.227e-05
63,13561.5,0.48808,0.29271,0.84154,0.88442,0.84421,0.87995,0.72036,0.50273,0.3609,0.86586,2.534e-05,2.534e-05,2.534e-05
64,13771.3,0.48685,0.29171,0.84015,0.86072,0.85647,0.88003,0.72111,0.50191,0.35942,0.86469,1.841e-05,1.841e-05,1.841e-05
65,13980.6,0.48308,0.28814,0.84022,0.87219,0.84904,0.88164,0.72231,0.50224,0.35935,0.86556,1.148e-05,1.148e-05,1.148e-05
